名前,タグ,Category,書類制作日付,URL,クライアント,テキスト,プロジェクト,備考,実施予定日,"日付 ",重要度
川本さん専用 Gem精度アップアンケート,"アイデア, 勉強会・講座, 情報, 資料",,2026年2月14日 19:09,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/02/14,
"2025年02月15日 ミーティング ","meeting notes, アイデア, 勉強会・講座, 戦略",Meeting memo,2026年2月17日 2:19,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/02/15,
2025年02月21日 森本さんMTG,meeting notes,Meeting memo,2026年2月20日 20:05,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),黒川ミスドでMTG,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/02/21,★
2025年02月25日 川本さんMTG,"meeting notes, アイデア, 勉強会・講座, 戦略",Meeting memo,2026年2月24日 9:50,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/02/25,
2025年02月26日森本さんMTG,meeting notes,Meeting memo,2026年2月26日 16:25,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),TV電話でMTG,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/02/26,★
2025年03月03日 川本さんMTG,"meeting notes, アイデア, 勉強会・講座, 戦略",Meeting memo,2026年3月2日 14:33,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/03/02,
メルマガ解除について,"meeting notes, アイデア, 勉強会・講座, 戦略",Meeting memo,2026年3月2日 16:08,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/03/02,
オンラインコミュニティ構想,"meeting notes, マーケティング, 情報, 戦略, 資料",提案関連,2026年3月6日 19:08,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/03/06,★★
2025年03月25日 川本さんMTG,"meeting notes, アイデア, 勉強会・講座, 戦略",Meeting memo,2026年3月24日 19:58,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/03/25,
川本さんアンケート｜ブランディング,"meeting notes, アイデア, 勉強会・講座, 戦略",Meeting memo,2026年3月24日 20:37,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/03/25,
サロン・ブランディング提案,,,2026年3月30日 0:30,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),Geminiのオンラインサロン集客とブランディング戦略で、進行中,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/03/30,
最初に：ミッションと方針について,"meeting notes, work notes",Meeting memo,2026年3月30日 12:29,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/03/31,
2025年04月07日 川本さんMTG,"meeting notes, アイデア, 勉強会・講座, 戦略",Meeting memo,2026年4月7日 0:44,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/04/07,
川本さん向け、ふくちゃんのコア・プラクティクス,,,2026年4月10日 1:10,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/04/09,
2025年04月14日 川本さんMTG,"meeting notes, アイデア, 勉強会・講座, 戦略",Meeting memo,2026年4月13日 9:56,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/04/14,
2025年04月21日 川本さんMTG,"meeting notes, アイデア, 勉強会・講座, 戦略",Meeting memo,2026年4月20日 23:46,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/04/21,
2025年04月28日 川本さんMTG,"meeting notes, アイデア, 勉強会・講座, 戦略",Meeting memo,2026年4月25日 11:12,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/04/28,
ウツ向けコーチングに、潜在意識の知識を生かし、経験不足を補う,,,2026年5月4日 0:57,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/04/09,
潜在意識と仲良くなるためのガイド： 「自己受容」と「自己肯定」の教科書,,,2026年5月4日 1:13,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/05/05,
雑談会に参加して・・ パワーアップ案,"アイデア, コンテンツネタ, マーケティング, 勉強会・講座, 気付き, 資料",,2026年5月4日 10:31,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/05/05,
2025年05月05日 川本さんMTG,"meeting notes, アイデア, 勉強会・講座, 戦略",Meeting memo,2026年5月4日 11:03,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/05/05,
2025年05月12日 川本さんMTG,"meeting notes, アイデア, 勉強会・講座, 戦略",Meeting memo,2026年5月7日 16:59,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/05/12,
完全な幸せへの3つのルート：実践・運用ガイド,,,2026年5月12日 8:47,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,,
オンラインサロン始動に向けた相談会・募集ページ構成案,"HP, work notes, 勉強会・講座",提案関連,2026年5月12日 14:27,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/05/12,
2025年05月19日 川本さんMTG,"meeting notes, アイデア, 勉強会・講座, 戦略",Meeting memo,2026年5月14日 21:28,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/05/19,
森本さんへのXリサーチについてのメッセージ,"work notes, テスト, マーケティング, 戦略",,2026年5月17日 19:26,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/05/17,
オンラインサロン始動の相談会,"work notes, 勉強会・講座",提案関連,2026年5月20日 20:48,,川本さん (%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%201598e921c5e149dba0e59df7bbb35b44.md),,川本さん開運・集客 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E5%B7%9D%E6%9C%AC%E3%81%95%E3%82%93%E9%96%8B%E9%81%8B%E3%83%BB%E9%9B%86%E5%AE%A2%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%202ad5cc0e3e5080afbd27cb84d619ef39.md),,,2026/05/20,
