名前,重要度,タグ,Category,書類制作日付,プロジェクト,"日付 "
セキュリティーアップ作業一覧,★,"HP, WP",work notes,2024年6月24日 13:21,「空」住所変更、メニュー追加 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%80%8C%E7%A9%BA%E3%80%8D%E4%BD%8F%E6%89%80%E5%A4%89%E6%9B%B4%E3%80%81%E3%83%A1%E3%83%8B%E3%83%A5%E3%83%BC%E8%BF%BD%E5%8A%A0%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%209a807e4359b64a0fb15cb6c51f84d8e0.md),
プラグイン一覧 / クリーン前,★★★,"HP, WP, work notes, エラー, 修正, 情報",work notes,2024年6月26日 17:18,「空」住所変更、メニュー追加 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%80%8C%E7%A9%BA%E3%80%8D%E4%BD%8F%E6%89%80%E5%A4%89%E6%9B%B4%E3%80%81%E3%83%A1%E3%83%8B%E3%83%A5%E3%83%BC%E8%BF%BD%E5%8A%A0%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%209a807e4359b64a0fb15cb6c51f84d8e0.md),
データベースのバックアップ、インポート,★★★,"HP, WP, work notes, エラー, テスト, 修正, 情報",work notes,2024年6月27日 14:50,「空」住所変更、メニュー追加 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%80%8C%E7%A9%BA%E3%80%8D%E4%BD%8F%E6%89%80%E5%A4%89%E6%9B%B4%E3%80%81%E3%83%A1%E3%83%8B%E3%83%A5%E3%83%BC%E8%BF%BD%E5%8A%A0%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%209a807e4359b64a0fb15cb6c51f84d8e0.md),
画像の圧縮アップによる軽量化、スピード化についての設定（EWWW Image Optimizer）,★★,,,2024年6月29日 19:31,「空」住所変更、メニュー追加 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%80%8C%E7%A9%BA%E3%80%8D%E4%BD%8F%E6%89%80%E5%A4%89%E6%9B%B4%E3%80%81%E3%83%A1%E3%83%8B%E3%83%A5%E3%83%BC%E8%BF%BD%E5%8A%A0%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%209a807e4359b64a0fb15cb6c51f84d8e0.md),
XサーバーWP情報,★★,"HP, WP, work notes",work notes,2024年6月30日 12:28,「空」住所変更、メニュー追加 プロジェクト (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%80%8C%E7%A9%BA%E3%80%8D%E4%BD%8F%E6%89%80%E5%A4%89%E6%9B%B4%E3%80%81%E3%83%A1%E3%83%8B%E3%83%A5%E3%83%BC%E8%BF%BD%E5%8A%A0%20%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%209a807e4359b64a0fb15cb6c51f84d8e0.md),
依頼事項メモ,★,"HP, WP, 修正",work notes,2024年7月18日 12:44,ザキヤマ　ヘッダーメニュー　スマホサイドボタン追加 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%82%B6%E3%82%AD%E3%83%A4%E3%83%9E%20%E3%83%98%E3%83%83%E3%83%80%E3%83%BC%E3%83%A1%E3%83%8B%E3%83%A5%E3%83%BC%20%E3%82%B9%E3%83%9E%E3%83%9B%E3%82%B5%E3%82%A4%E3%83%89%E3%83%9C%E3%82%BF%E3%83%B3%E8%BF%BD%E5%8A%A0%208a3c690536574d48a37d45a2af7e5da3.md),
ヘッダーメニュー。メッセージやりとり,★,"HP, WP",work notes,2024年7月20日 17:11,ザキヤマ　ヘッダーメニュー　スマホサイドボタン追加 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%82%B6%E3%82%AD%E3%83%A4%E3%83%9E%20%E3%83%98%E3%83%83%E3%83%80%E3%83%BC%E3%83%A1%E3%83%8B%E3%83%A5%E3%83%BC%20%E3%82%B9%E3%83%9E%E3%83%9B%E3%82%B5%E3%82%A4%E3%83%89%E3%83%9C%E3%82%BF%E3%83%B3%E8%BF%BD%E5%8A%A0%208a3c690536574d48a37d45a2af7e5da3.md),
スマホ下部にボタン追加の記録,★,,,2024年7月21日 14:33,ザキヤマ　ヘッダーメニュー　スマホサイドボタン追加 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%82%B6%E3%82%AD%E3%83%A4%E3%83%9E%20%E3%83%98%E3%83%83%E3%83%80%E3%83%BC%E3%83%A1%E3%83%8B%E3%83%A5%E3%83%BC%20%E3%82%B9%E3%83%9E%E3%83%9B%E3%82%B5%E3%82%A4%E3%83%89%E3%83%9C%E3%82%BF%E3%83%B3%E8%BF%BD%E5%8A%A0%208a3c690536574d48a37d45a2af7e5da3.md),
【空】スパムメール防止,★,"HP, WP, work notes, エラー, 修正",請求関連,2024年8月13日 17:16,ザキヤマ　予約フォームスパムメール防止 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%82%B6%E3%82%AD%E3%83%A4%E3%83%9E%20%E4%BA%88%E7%B4%84%E3%83%95%E3%82%A9%E3%83%BC%E3%83%A0%E3%82%B9%E3%83%91%E3%83%A0%E3%83%A1%E3%83%BC%E3%83%AB%E9%98%B2%E6%AD%A2%20851925551c1a470bbef1270817b2fd67.md),
【空】　スパムメール防止　内容をChatGPTがアドバイス,★,,,2024年8月13日 17:20,ザキヤマ　予約フォームスパムメール防止 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%82%B6%E3%82%AD%E3%83%A4%E3%83%9E%20%E4%BA%88%E7%B4%84%E3%83%95%E3%82%A9%E3%83%BC%E3%83%A0%E3%82%B9%E3%83%91%E3%83%A0%E3%83%A1%E3%83%BC%E3%83%AB%E9%98%B2%E6%AD%A2%20851925551c1a470bbef1270817b2fd67.md),
Google reCAPTCHAの設置、V2化、デザイン修正,★,"HP, WP, work notes, 学び",work notes,2024年8月14日 18:58,ザキヤマ　予約フォームスパムメール防止 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%82%B6%E3%82%AD%E3%83%A4%E3%83%9E%20%E4%BA%88%E7%B4%84%E3%83%95%E3%82%A9%E3%83%BC%E3%83%A0%E3%82%B9%E3%83%91%E3%83%A0%E3%83%A1%E3%83%BC%E3%83%AB%E9%98%B2%E6%AD%A2%20851925551c1a470bbef1270817b2fd67.md),
ザキヤマより、予約フォームのスマホで日時を選択時に、表示されない問題を相談,★,"HP, WP, work notes, エラー",work notes,2024年8月14日 19:04,ザキヤマ　予約フォームのデザイン修正 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%82%B6%E3%82%AD%E3%83%A4%E3%83%9E%20%E4%BA%88%E7%B4%84%E3%83%95%E3%82%A9%E3%83%BC%E3%83%A0%E3%81%AE%E3%83%87%E3%82%B6%E3%82%A4%E3%83%B3%E4%BF%AE%E6%AD%A3%2036e006e1ab5d4ec8815753d1d99916c3.md),
【解決】ザキヤマより、予約フォームのスマホで日時を選択時に、表示されない問題,★,"HP, WP, work notes, アイデア, エラー, 修正",work notes,2024年8月17日 13:33,ザキヤマ　予約フォームのデザイン修正 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%82%B6%E3%82%AD%E3%83%A4%E3%83%9E%20%E4%BA%88%E7%B4%84%E3%83%95%E3%82%A9%E3%83%BC%E3%83%A0%E3%81%AE%E3%83%87%E3%82%B6%E3%82%A4%E3%83%B3%E4%BF%AE%E6%AD%A3%2036e006e1ab5d4ec8815753d1d99916c3.md),
ザキヤマ　調べた予約プラグイン比較,★,"HP, WP, work notes, アイデア, エラー, 修正",work notes,2024年8月17日 13:37,ザキヤマ　予約フォームのデザイン修正 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%82%B6%E3%82%AD%E3%83%A4%E3%83%9E%20%E4%BA%88%E7%B4%84%E3%83%95%E3%82%A9%E3%83%BC%E3%83%A0%E3%81%AE%E3%83%87%E3%82%B6%E3%82%A4%E3%83%B3%E4%BF%AE%E6%AD%A3%2036e006e1ab5d4ec8815753d1d99916c3.md),
アナリティクスのトラッキングタグの設置　/作業内容と流れ,★,"HP, WP, work notes, エラー",work notes,2024年9月25日 16:36,空　トラッキングタグ設置 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E7%A9%BA%20%E3%83%88%E3%83%A9%E3%83%83%E3%82%AD%E3%83%B3%E3%82%B0%E3%82%BF%E3%82%B0%E8%A8%AD%E7%BD%AE%2010c5cc0e3e508085a42add053232d7d1.md),
「クロール済み - インデックス未登録」の対応資料,,,,2024年10月2日 15:34,「クロール済み - インデックス未登録」の対応 (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E3%80%8C%E3%82%AF%E3%83%AD%E3%83%BC%E3%83%AB%E6%B8%88%E3%81%BF%20-%20%E3%82%A4%E3%83%B3%E3%83%87%E3%83%83%E3%82%AF%E3%82%B9%E6%9C%AA%E7%99%BB%E9%8C%B2%E3%80%8D%E3%81%AE%E5%AF%BE%E5%BF%9C%201135cc0e3e5080338297eb5687f4df36.md),
群馬への引越しに伴う電話番号変更,,,work notes,2024年11月5日 12:36,群馬への引越しに伴う修正 (https://app.notion.com/p/1355cc0e3e50806f9d66d4fc9fbf1466?pvs=21),
群馬への引越しに伴う電話番号変更,,,請求関連,2024年11月5日 12:40,群馬への引越しに伴う修正 (https://app.notion.com/p/1355cc0e3e50806f9d66d4fc9fbf1466?pvs=21),
メタバースミーティング,,,work notes,2024年11月13日 1:06,空 ミーティング・やりとり memo (../DB_%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88/%E7%A9%BA%20%E3%83%9F%E3%83%BC%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0%E3%83%BB%E3%82%84%E3%82%8A%E3%81%A8%E3%82%8A%20memo%2013c5cc0e3e5080dbb0b3dcbda0e939ee.md),2024/11/13
,,,,2025年2月23日 12:34,AIをより効率的に使えるようにる (https://app.notion.com/p/349fbefc06e2442abed11a3c8a217142?pvs=21),
検索結果にサムネを表示させる方法を説明,,,,2025年2月23日 12:35,,2025/02/23
何故か、群馬の電話番号が九州になってる　修正,★,"HP, WP, work notes, エラー, 修正",work notes,2025年6月6日 10:13,,2025/06/06
