名前,"日付 ",重要度,タグ,テキスト
動画コンテンツ-ネタ・アイデア,2025/02/17,,"VIdeo, YouTube, アイデア, コンテンツネタ, 勉強会・講座, 学び, 情報, 気付き",
川本さん講座 第02回目,2025/02/16,,"勉強会・講座, 学び",
遠藤さん勉強会 2025/02/15,2025/02/15,★,勉強会・講座,
遠藤さん勉強会 2025/02/08,2025/02/08,★,"勉強会・講座, 学び",
開運・占い講座の内容をYouTubeに２つ投稿する,2025/01/31,,,
集客の流れ,2024/06/18,,"work notes, アイデア, 戦略",
サイクル論と心の成長,,,,
成長の5段階プロセス：自己診断と活用ガイド,,★★★,"work notes, アイデア, 勉強会・講座, 学び, 情報, 気付き, 資料",
宇宙の法則の学びの流れが説明プロンプト,,,"プロンプト, 勉強会・講座, 資料",
山崎さん講座の相談AI,,,,
,,,,
自動思考をなくしポポルームに行く,,,"YouTube, コンテンツネタ, 学び, 情報",
哲学者ソクラテスの「無知の知」を物語化,,★★,"コンテンツネタ, 学び, 情報, 気付き",
"哲学者ソクラテスの「無知の知」から学ぶ ",,★★,"コンテンツネタ, 学び, 情報, 気付き",
川本さん　開運・占い講座　第01回目,,,"work notes, コンテンツネタ",
占い伝えるアイデア,,,"Service, アイデア",
【ローンチ部分】ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語　もっと面白おかし,,,"VIdeo, work notes, アイデア, 情報",ジョセフ・キャンベルの「ヒーローの冒険」に沿って、 ChatGPT作成の物語
高次元、特に五次元の存在を主張する理論物理学者,,,"コンテンツネタ, 情報",
禅と日本文化｜鈴木大拙【ベトナム語】【教材】,,,"Book Mark, Service, コンテンツネタ, 学び, 情報",うまくいく人は、頑張らない。 ～日本最大の仏教哲学者に学ぶ、禅と東洋思想の精髄～
禅と日本文化｜鈴木大拙【教材】,,,"Book Mark, Service, コンテンツネタ, 学び, 情報",うまくいく人は、頑張らない。 ～日本最大の仏教哲学者に学ぶ、禅と東洋思想の精髄～
弓と禅｜ヘリゲル【教材】,,,"Book Mark, Service, コンテンツネタ, 学び, 情報",意欲を捨てれば、うまくいく。伝統武道に学ぶ「無心」の奥義とは？
講座の構成　アイデア,,,"Service, work notes, コンテンツネタ, 学び, 情報",占い講座の全体像を考える
【修正-5】ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語　もっと面白おかし,,,"VIdeo, work notes, アイデア, 情報",ジョセフ・キャンベルの「ヒーローの冒険」に沿って、 ChatGPT作成の物語
【完成】ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語　もっと面白おかし,,,"VIdeo, work notes, アイデア, 情報",ジョセフ・キャンベルの「ヒーローの冒険」に沿って、 ChatGPT作成の物語
【修正-4】ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語　もっと面白おかし,,,"VIdeo, work notes, アイデア, 情報",ジョセフ・キャンベルの「ヒーローの冒険」に沿って、 ChatGPT作成の物語
グエンさんに講座の素晴らしさを簡単に伝える,,,学び,
コンテンツ　アイデア,,,"アイデア, コンテンツネタ",
【修正-3】ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語　,,,"VIdeo, work notes, アイデア, 情報",ジョセフ・キャンベルの「ヒーローの冒険」に沿って、 ChatGPT作成の物語
占い講座の目的,,,"work notes, アイデア",
グエンさんに宇宙の素晴らしさを伝える,,,"アイデア, 情報",
【修正-2】ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語　,,,"VIdeo, work notes, アイデア, 情報",ジョセフ・キャンベルの「ヒーローの冒険」に沿って、 ChatGPT作成の物語
占い説明書,,,,
占い講座の説明,,,"VIdeo, アイデア, コンテンツネタ, プロンプト",占い講座の説明
動画前にザキヤマに提案,,,"work notes, コンテンツネタ, テスト, マーケティング, 戦略",
【修正-1】ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語　$,,,"VIdeo, work notes, アイデア, 情報",ジョセフ・キャンベルの「ヒーローの冒険」に沿って、 ChatGPT作成の物語
ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語,,,"VIdeo, work notes, アイデア, 情報",ジョセフ・キャンベルの「ヒーローの冒険」に沿って、 ChatGPT作成の物語
動画をもっと面白く！自分の言いたいことを入れる,,,"VIdeo, work notes, アイデア, 情報",ひーが作ってくれた、しくじり先生風の自分紹介動画の台本
占いで大切なこと,,,,
しくじり先生の流れ　23年07月20日,,,"VIdeo, work notes, アイデア, 情報",ひーが作ってくれた、しくじり先生風の自分紹介動画の台本
占い動画 入れたい内容,,,"VIdeo, work notes, アイデア, 情報",ダン・ハーモンのストーリー・サークルに合わせたストーリー作りに入れたい内容
占い講座説明　AIのアドバイス,,,"VIdeo, work notes, アイデア, 情報",アンケートに答えたが、使えない内容だったため採用しなかった。しかし、自分が書いたアンケートの内容は生かせるかも。
占い講座説明VIDEO　アイデア,,,"VIdeo, work notes, アイデア, 情報",
【物語】次回動画修正,,,"VIdeo, work notes, アイデア, 情報",ジョセフ・キャンベルの「ヒーローの冒険」に沿って、 ChatGPT作成の物語
カードの内容,,,"work notes, コンテンツネタ",
アインシュタインの考える神、娘に宛てた手紙,,,,
占い講座に入れる内容　アイデア,,,"アイデア, コンテンツネタ",
占いの注意点,,,アイデア,
占い説明動画メモ　伝えたいこと,,,"VIdeo, アイデア, コンテンツネタ, プロンプト",占いの説明動画の作成用プロンプト用のメモ
講座で教えていけないリスト,,,,
